geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
BLZ-000001,P19004,Muslim Community Primary,Corner Central American Blvd & Faber's Rood  Belize City  Belize,BLZ,Belize,Port Loyola,,-88.200574,17.48878
BLZ-000002,K12104,Mustard Seed Preschool,"6 Mamie Rd, Ladyville, Belize",BLZ,Belize,Belize Rural North,,-88.29585201,17.55032327
BLZ-000003,K20105,Myrtle Banner Preschool,"Camalote Village, Cayo District",BLZ,Cayo,Cayo South,,-88.8160634,17.2504027
BLZ-000004,P60101,Na Luum Ca Government Primary School,Na Luum Ca Village,BLZ,Toledo,Toledo West,,-89.080682,16.286352
BLZ-000005,K54004,Nazarene Bright Start Preschool,"1 Magoon St, Dangriga Town",BLZ,,Dangriga,,-88.22058954,16.96817306
BLZ-000006,S15001,Nazarene High School,"31 Princess Margaret Drive, Belize City",BLZ,Belize,Caribbean Shores,,-88.1981201,17.507925
BLZ-000007,K54103,Nazarene Preschool,Aubrey Gorbon St. Independence Village,BLZ,Stann Creek,Stann Creek West,,-88.416849,16.536964
BLZ-000008,S47001,New Hope High School,"Rear Stadium Street, Orange Walk Town",BLZ,Orange Walk,Orange Walk North,,-88.57558464,18.08423719
BLZ-000009,P14003,New Horizon SDA Primary School,Escalante Subdivision  San Pedro Town  Belize C.A,BLZ,Belize,Belize Rural North,,-87.978804,17.903028
BLZ-000010,P20106,New Life Government Primary-CYO,Duck Run 1 Village  Spanish Lookout  Cayo District,BLZ,Cayo,Cayo North East,,-89.0195925,17.2195085
BLZ-000011,K44001,New Life Presbyterian Preschool,Holy Trinity & Tate St,BLZ,Orange Walk,Orange Walk North,,-88.5626669,18.0928431
BLZ-000012,P49003,New Life Presbyterian Primary,Holy Trinity & Tate Street,BLZ,Orange Walk,Orange Walk North,,-88.5626669,18.0928431
BLZ-000013,P41403,Nuevo San Juan RC Primary,Nuevo San Juan Village,BLZ,Orange Walk,Orange Walk North,,-88.578292,18.226415
BLZ-000014,S17003,Ocean Academy High School,"Ocean Academy Drive, Caye Caulker",BLZ,,Belize Rural North,,-88.029892,17.7366771
BLZ-000015,P29401,Ontario Christian Primary,56 miles George Price Highway,BLZ,Cayo,Cayo Central,,-88.8899186,17.2265739
BLZ-000016,S40001,Orange Walk Technical High School,"Stadium Street, PO Box 126",BLZ,Orange Walk,Orange Walk North,,-88.5726507,18.0855768
BLZ-000017,K64111,Our Lady of Bella Vista RC Preschool,Bella Vista Village,BLZ,Toledo,Toledo East,,-88.5340734,16.5093409
BLZ-000018,P61301,Our Lady of Bella Vista RC Primary,Bella Vista Village,BLZ,Toledo,Toledo East,,-88.5340734,16.5093409
BLZ-000019,P41201,Our Lady of Fatima RC Primary,Douglas Village,BLZ,Orange Walk,Orange Walk Central,,-88.567239,18.08223
BLZ-000020,P21405,Our Lady of Fatima RC Primary-CYO,Roaring Creek Village,BLZ,Cayo,Cayo South,,-88.7922639,17.2595782
BLZ-000021,S21004,Our Lady of Guadalupe RC High School,George Price Boulevard  P. O. Box 479  City of Belmopan,BLZ,Cayo,Belmopan,,-88.76513798,17.26747375
BLZ-000022,K34121,Our Lady of Guadalupe RC Preschool,"Altamira, Corozal",BLZ,Corozal,Corozal North,,-88.3834572,18.4021551
BLZ-000023,P31401,Our Lady of Guadalupe RC Primary School,"Altamira, Corozal Town",BLZ,Corozal,Corozal North,,-88.3834572,18.4021551
