geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
CRI-000000,100677,OJO DE AGUA,,CRI,Provincia San JosÃ©,Aserri,Vuelta de Jorco,-84.12333007749314,9.80187957623517
CRI-000001,100678,AGUA BLANCA,,CRI,Provincia San JosÃ©,Acosta,San Ignacio,-84.18296547817928,9.81068075375681
CRI-000002,100679,LINDA VISTA,,CRI,Provincia Cartago,La Union,RÃ­o Azul,-84.02563378372629,9.884689082719197
CRI-000003,100680,FINCA CAPRI,,CRI,Provincia San JosÃ©,Desamparados,San Miguel,-84.06029511683408,9.866629431819137
CRI-000004,100681,SAUREZ,,CRI,Provincia San JosÃ©,Aserri,AserrÃ­,-84.09783142681358,9.85275790346139
CRI-000005,100682,SAN RAFAEL,,CRI,Provincia San JosÃ©,Desamparados,San Rafael Arriba,-84.07689147111088,9.885431464903764
CRI-000006,100692,MARTIN MORA ROJAS,,CRI,Provincia San JosÃ©,Desamparados,Frailes,-84.08455654991664,9.753318756663235
CRI-000007,100693,JOSE TRINIDAD MORA VALVERDE,,CRI,Provincia San JosÃ©,Desamparados,Desamparados,-84.07156514572083,9.892429570101438
CRI-000008,100694,CANGREJAL,,CRI,Provincia San JosÃ©,Acosta,Cangrejal,-84.21880774507508,9.764007815365215
CRI-000009,100695,CARAGRAL,,CRI,Provincia San JosÃ©,Acosta,Palmichal,-84.14863165774099,9.824739805286432
CRI-000010,100697,CEIBA ALTA,,CRI,Provincia San JosÃ©,Aserri,Cangrejal,-84.15687952217688,9.75793758513744
CRI-000011,100698,JOSE ANGEL PADILLA SOLIS,,CRI,Provincia San JosÃ©,Desamparados,San CristÃ³bal,-84.00071123805726,9.747643048380334
CRI-000012,100700,ISABEL LA CATOLICA,,CRI,Provincia San JosÃ©,Acosta,Guaitil,-84.25529138186737,9.778300104624204
CRI-000013,100701,LAGUNILLAS,,CRI,Provincia San JosÃ©,Acosta,Guaitil,-84.19732598332375,9.81574518589746
CRI-000014,100702,MANUEL HIDALGO MORA,,CRI,Provincia San JosÃ©,Aserri,AserrÃ­,-84.09354187932021,9.862598249083124
CRI-000015,100703,SANTA TERESITA,,CRI,Provincia San JosÃ©,Aserri,Salitrillos,-84.0833275880398,9.863861271023213
CRI-000016,100705,JOAQUIN GARCIA MONGE,,CRI,Provincia San JosÃ©,Desamparados,Desamparados,-84.06588878951402,9.899330985001793
CRI-000017,100711,CECILIO PIEDRA GUTIERREZ,,CRI,Provincia San JosÃ©,Desamparados,Frailes,-84.05515637324453,9.751023832903178
CRI-000018,100712,LEANDRO FONSECA NARANJO,,CRI,Provincia San JosÃ©,Desamparados,Rosario,-84.07696397837181,9.80381989783895
CRI-000019,100713,GUAITIL,,CRI,Provincia San JosÃ©,Acosta,Guaitil,-84.23195256151595,9.791763814697777
CRI-000020,100720,CEIBA BAJA,,CRI,Provincia San JosÃ©,Acosta,Cangrejal,-84.19404444592863,9.764016534755214
CRI-000021,100721,CEIBA ESTE,,CRI,Provincia San JosÃ©,Acosta,Cangrejal,-84.17050894357526,9.75634095669225
CRI-000022,100726,CHIROGRES,,CRI,Provincia San JosÃ©,Desamparados,Rosario,-84.08556149513709,9.80679099535575
CRI-000023,100728,LA PALMA,,CRI,Provincia San JosÃ©,Acosta,Sabanillas,-84.24279388477404,9.750831814955303
CRI-000024,100731,LAS GRAVILIAS,,CRI,Provincia San JosÃ©,Desamparados,Gravilias,-84.05924188316543,9.89553610955825
CRI-000025,100734,LLANO BONITO,,CRI,Provincia San JosÃ©,Acosta,Cangrejal,-84.2062009829573,9.755185425274732
CRI-000026,100735,MANUEL PADILLA URENA,,CRI,Provincia Cartago,Cartago,Corralillo,-84.07193602133458,9.775808975483702
CRI-000027,100736,FLORIA ZELEDON TREJOS,,CRI,Provincia San JosÃ©,Aserri,Vuelta de Jorco,-84.12609779476279,9.781386209445028
CRI-000028,100737,BRAULIO ODIO HERRERA,,CRI,Provincia San JosÃ©,Aserri,Monterrey,-84.10818465594474,9.756599335619388
CRI-000029,100738,NARANJAL,,CRI,Provincia San JosÃ©,Acosta,Cangrejal,-84.22549317878305,9.747011631792692
CRI-000030,100739,BRAULIO CASTRO CHACON,,CRI,Provincia San JosÃ©,Acosta,Guaitil,-84.19729421019899,9.806641166084212
CRI-000031,100740,PARRITA,,CRI,Provincia San JosÃ©,Aserri,Legua,-84.13589013809272,9.691796701026616
CRI-000032,100743,JUAN MONGE GUILLEN,,CRI,Provincia San JosÃ©,Desamparados,PatarrÃ¡,-84.03522334555753,9.882280570803411
CRI-000033,100745,ANDRES CORRALES MORA,,CRI,Provincia San JosÃ©,Aserri,AserrÃ­,-84.10108515104616,9.872305455296248
CRI-000034,100746,PRAGA,,CRI,Provincia San JosÃ©,Aserri,Tarbaca,-84.11059375403067,9.819289684509492
CRI-000035,100747,REPUBLICA FEDERAL DE ALEMANIA,,CRI,Provincia San JosÃ©,Desamparados,PatarrÃ¡,-84.02319163126919,9.87571378162011
CRI-000036,100748,FRANCISCO GAMBOA MORA,,CRI,Provincia Cartago,La Union,RÃ­o Azul,-84.03412530870823,9.89082901941598
CRI-000037,100752,LA FILA,,CRI,Provincia San JosÃ©,Aserri,San Gabriel,-84.09592243991801,9.78839291432333
CRI-000038,100753,MATIAS CAMACHO CASTRO,,CRI,Provincia San JosÃ©,Acosta,Sabanillas,-84.26985918398069,9.738626997518631
CRI-000039,100757,GABRIEL BRENES ROBLES,,CRI,Provincia San JosÃ©,Aserri,San Gabriel,-84.1056397004049,9.787694582337124
CRI-000040,100758,CRISTOBAL COLON,,CRI,Provincia San JosÃ©,Acosta,San Ignacio,-84.16257507836093,9.79924642831364
CRI-000041,100762,SOLEDAD,,CRI,Provincia San JosÃ©,Acosta,Sabanillas,-84.25215093202301,9.72936856350854
CRI-000042,100763,SAN LUIS,,CRI,Provincia San JosÃ©,Acosta,San Ignacio,-84.16685523377406,9.79227667205186
CRI-000043,100764,REPUBLICA DE HONDURAS,,CRI,Provincia San JosÃ©,Desamparados,San Miguel,-84.06221376331686,9.871505493545085
CRI-000044,100766,ELIAS JIMENEZ CASTRO,,CRI,Provincia San JosÃ©,Desamparados,San Rafael Abajo,-84.08111912398304,9.89342507773898
CRI-000045,100770,DR. MARIANO FIGUERES FORGES,,CRI,Provincia Cartago,Desamparados,Corralillo,-84.05402569983916,9.766820941422678
