geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
GTM-000001,00-01-0001-42,EODP NO.20 ANTONIO JOSE DE IRISARRI,19 CALLE 12-71,GTM,Guatemala,Guatemala,,-90.5074658,14.62970373
GTM-000002,00-01-0002-42,EODP NO.21 GABRIELA MISTRAL,19 CALLE 12-71,GTM,Guatemala,Guatemala,,-90.5074658,14.62970373
GTM-000003,00-01-0003-42,EODP NO. 36 LA PRESIDENTA,2A AVE. Y 22 CALLE TERCER NIVEL MERCADO LA PRESIDENTA,GTM,Guatemala,Guatemala,,-90.52080427,14.62837351
GTM-000004,00-01-0004-42,EODP NO.30 OTILIA NUÑEZ ARIZA,12 CALLE A 14-56 BARRIO GERONA,GTM,Guatemala,Guatemala,,-90.50687515,14.63386342
GTM-000005,00-01-0005-42,EODP NO.8 OVIDIO DECROLY,3A CALLE 16-73,GTM,Guatemala,Guatemala,,-90.5004619,14.64353186
GTM-000006,00-01-0006-42,EODP NO.1 RAMONA GIL,2A. CALLE 4-28,GTM,Guatemala,Guatemala,,-90.51487315,14.64670364
GTM-000007,00-01-0007-42,EODP NO.38 DEL CENTRO DE BIENESTAR SOCIAL COLON,7A CALLE 12-67,GTM,Guatemala,Guatemala,,-90.50586237,14.64105129
GTM-000008,00-01-0008-42,EODP NO.12 LEONOR CIENFUEGOS,3A CALLE 0-72,GTM,Guatemala,Guatemala,,-90.51946796,14.64655395
GTM-000009,00-01-0058-43,ESCUELA DE NIÑOS NO.3 CAYETANO FRANCOS Y MONROY,15 CALLE 11-12,GTM,Guatemala,Guatemala,,-90.50916752,14.63260904
GTM-000010,00-01-0059-43,EOUV NO.27 REPUBLICA DE BRASIL,"3A . AVENIDA C 24-01,",GTM,Guatemala,Guatemala,,-90.51861702,14.62509008
GTM-000011,00-01-0063-43,EOUV NO.2 REPUBLICA DE COSTA RICA,14 CALLE 14-70,GTM,Guatemala,Guatemala,,-90.50499952,14.63321917
GTM-000012,00-01-0064-43,EOUV NO.9 LUCAS TOMAS COJULUN,13 AVENIDA 4-78,GTM,Guatemala,Guatemala,,-90.50592496,14.64323623
GTM-000013,00-01-0065-43,ESCUELA OFICIAL NO. 35 JOSE CECILIO DEL VALLE,15 CALLE 11-12,GTM,Guatemala,Guatemala,,-90.50916752,14.63260904
GTM-000014,00-01-0066-43,ESCUELA OFICIAL PARA NIÑAS NO .45 RAFAEL AYAU,14 AVENIDA 3-37,GTM,Guatemala,Guatemala,,-90.50351015,14.64389386
GTM-000015,00-01-0067-43,EOUN NO.5 MIGUEL GARCIA GRANADOS,13 AVENIDA 4-78,GTM,Guatemala,Guatemala,,-90.50592496,14.64323623
GTM-000016,00-01-0070-43,ESCUELA DE NIÑAS NO. 10 MANUEL CABRAL,14 CALLE 12-71,GTM,Guatemala,Guatemala,,-90.50687515,14.63386342
GTM-000017,00-01-0071-43,EOUN NO.67 APLICACION DE BELEN,13 CALLE 10-59,GTM,Guatemala,Guatemala,,-90.50934109,14.63554801
GTM-000018,00-01-0072-43,EOUN NO.3 DOLORES BEDOYA DE MOLINA,7A. AVENIDA 13-73,GTM,Guatemala,Guatemala,,-90.5130894,14.63486211
GTM-000019,00-01-0074-43,EOUM NO.82 DR. CARLOS MONZON MALICE,"AVE. ELENA Y 12 CALLE, DEPTO. DE PEDIATRIA HOSPITAL GENERAL",GTM,Guatemala,Guatemala,,-90.5215753,14.6404137
GTM-000020,00-01-0075-43,EOUM NO.72 GUATEMALTECOS SOMOS,3A. AV. C 24-24,GTM,Guatemala,Guatemala,,-90.51861702,14.62509008
GTM-000021,00-01-0078-43,EOUM NO.136 MERCADO SUR NO.2,6A AVE. 19-14,GTM,Guatemala,Guatemala,,-90.51588334,14.63034998
GTM-000022,00-01-0079-43,EOUM LABORATORIO NO. 2 GRUPO ESCOLAR CENTROAMERICANO NIÑOS DE LA ESPERANZA,10A CALLE 2-37,GTM,Guatemala,Guatemala,,-90.51789255,14.64006904
GTM-000023,00-01-0080-43,EOUM CENTRO DE RECUPERACION DE LISIADOS FISICOS,13 CALLE 0-18,GTM,Guatemala,Guatemala,,-90.52186912,14.63620692
GTM-000024,00-01-0085-43,EOUM NO.6 JORGE WASHINGTON,7A AVE. 13-73,GTM,Guatemala,Guatemala,,-90.5130894,14.63486211
