geo_id,deped_id,school_name,address,adm0,adm1,adm2,adm3,longitude,latitude
HND-000002,10100002,JOSE CECILIO DEL VALLE,BELLA VISTA,HND,AtlÃ¡ntida,La Ceiba,,-86.78322896415628,15.770585303265408
HND-000003,10100004,AUGUSTO C  COELLO,B INGLES,HND,AtlÃ¡ntida,La Ceiba,,-86.79566759554439,15.786020508482073
HND-000004,10100005,JOSE TRINIDAD CABAÑAS,LA MERCED,HND,AtlÃ¡ntida,La Ceiba,,-86.78437922153131,15.77758382811669
HND-000005,10100006,GUSTAVO A CASTAÑEDA,B MEJIA,HND,AtlÃ¡ntida,La Ceiba,,-86.79669715918395,15.774106032237441
HND-000006,10100007,CRISTOBAL COLON,COL. YESSENIA CASTILLO,HND,AtlÃ¡ntida,La Ceiba,,-86.82377968434514,15.764926345935372
HND-000007,10100008,RAMON MONTOYA,BO LA ISLA,HND,AtlÃ¡ntida,La Ceiba,,-86.78250955649233,15.788611423251304
HND-000008,10100009,LUIS LANDA,B INDEPENDENCIA,HND,AtlÃ¡ntida,La Ceiba,,-86.79397552095978,15.77890400439174
HND-000009,10100010,ATENEA,CENTRO  AVENIDA ATLANTIDA,HND,AtlÃ¡ntida,La Ceiba,,-86.79296656503806,15.788730116042805
HND-000010,10100011,FRANCISCO MORAZAN,SOLARES NUEVOS,HND,AtlÃ¡ntida,La Ceiba,,-86.78979979534577,15.781241511456646
HND-000011,10100014,MARCO ANTONIO PONCE,COL LA MERCED,HND,AtlÃ¡ntida,La Ceiba,,-86.79123495963492,15.765566579762265
HND-000012,10100016,JUAN PINEDA CARIAS,COLONIA PIZZATY,HND,AtlÃ¡ntida,La Ceiba,,-86.77295428505849,15.77525783005101
HND-000013,10100017,GUSTAVO ADOLFO ALVAREZ MARTINEZ,ARMENIA BONITO,HND,AtlÃ¡ntida,La Ceiba,,-86.85945911025293,15.726330847522812
HND-000014,10100018,EL PROGRESO,LAS MANGAS,HND,AtlÃ¡ntida,La Ceiba,,-86.771826385227,15.706729154962296
HND-000015,10100019,RAFAEL BARDALES BUESO,CLUB DE LEONES,HND,AtlÃ¡ntida,La Ceiba,,-86.84346225085791,15.748831059303892
HND-000016,10100020,MIGUEL BANEGAS,EL PARAISO,HND,AtlÃ¡ntida,La Ceiba,,-86.64338556250486,15.637406220252357
HND-000017,10100021,10 DE SEPTIEMBRE,RIO MARIA,HND,AtlÃ¡ntida,La Ceiba,,-86.70670291529996,15.777013852835612
HND-000018,10100022,RAMON QUINTANILLA JACOME,LA ALHAMBRA,HND,AtlÃ¡ntida,La Ceiba,,-86.80491786944053,15.778669994841257
HND-000019,10100023,EULOGIO ENAMORADO,LA COLORADA,HND,AtlÃ¡ntida,La Ceiba,,-86.72046674214583,15.645274839791057
HND-000020,10100024,MARGARITA VIDAL DE ROSALES,TEGUCIGALPITA,HND,AtlÃ¡ntida,La Ceiba,,-86.77937482578494,15.74317950143853
HND-000021,10100025,POLICARPO PAZ GARCIA,JUAN ALBERTO MELGAR CASTRO,HND,AtlÃ¡ntida,La Ceiba,,-86.80785520911188,15.762643695440582
HND-000022,10100026,ENRIQUE ORTEZ PINEL,COL. PRIMERO DE MAYO,HND,AtlÃ¡ntida,La Ceiba,,-86.86653412265542,15.740782188935048
HND-000023,10100027,ROSA GALATEA ROSALES,ALDEA LAS DELICIAS,HND,AtlÃ¡ntida,La Ceiba,,-86.76835633161951,15.630603445630754
HND-000024,10100028,JUSTO RUFINO SPILBURY,EL BUFALO,HND,AtlÃ¡ntida,La Ceiba,,-86.84086731091813,15.736615333862918
HND-000025,10100029,JUAN MANUEL GALVEZ,BUENOS AIRES,HND,AtlÃ¡ntida,La Ceiba,,-86.80184690743988,15.768360987373466
HND-000026,10100030,JOSE CECILIO DEL VALLE,PIEDRA PINTADA,HND,AtlÃ¡ntida,La Ceiba,,-86.69354365962432,15.786316458009896
HND-000027,10100031,RAFAELA HUETE DE RODRIGUEZ,MIRAMAR,HND,AtlÃ¡ntida,La Ceiba,,-86.80905523258619,15.777181973251313
HND-000028,10100032,RAFAEL PINEDA PONCE,COL SUYAPA,HND,AtlÃ¡ntida,La Ceiba,,-86.78617653750769,15.764124223376571
HND-000029,10100033,JOSE V VASQUES,GOLOZON,HND,AtlÃ¡ntida,La Ceiba,,-86.8554477078625,15.74967107226129
HND-000030,10100034,LA LIBERTAD,SAMBO CREEK,HND,AtlÃ¡ntida,La Ceiba,,-86.62887221541497,15.79508437917602
HND-000031,10100035,RAMON ROSA,BARRIO BELICE,HND,AtlÃ¡ntida,La Ceiba,,-86.63786198134392,15.785516681934176
HND-000032,10100036,ABRAHAM MEJIA ZERON,EL PITAL,HND,AtlÃ¡ntida,La Ceiba,,-86.70875044952798,15.683121585860315
HND-000033,10100037,FERNANDO SOTO ENRIQUEZ,COL. DANTILLO,HND,AtlÃ¡ntida,La Ceiba,,-86.82607241159099,15.76943943399862
HND-000034,10100038,14 DE JULIO DE 1969,ALDEA EL URRACO,HND,AtlÃ¡ntida,La Ceiba,,-86.65434601649025,15.605203118748726
HND-000035,10100039,LUIS LANDA,RIO PIEDRAS,HND,AtlÃ¡ntida,La Ceiba,,-86.66251408498927,15.788874175712998
HND-000036,10100040,CARLOS HARTLING,SATUYE,HND,AtlÃ¡ntida,La Ceiba,,-86.73273975439336,15.771171051086451
HND-000037,10100041,REPUBLICA DE HONDURAS,SAN MARTIN,HND,AtlÃ¡ntida,La Ceiba,,-86.8221202684404,15.75152686229822
HND-000038,10100042,JUANA REYES DE MARESMA,PALMIRA,HND,AtlÃ¡ntida,La Ceiba,,-86.83751222617363,15.75345548635428
HND-000039,10100043,PEDRO NUFIO,LOS LIMPIOS,HND,AtlÃ¡ntida,La Ceiba,,-86.7137572458353,15.625937341635328
HND-000040,10100045,JOSE TRINIDAD REYES,BARRIO DANTO,HND,AtlÃ¡ntida,La Ceiba,,-86.81237754528918,15.758362407782085
HND-000041,10100046,LEMPIRA,B SIERRA PINA,HND,AtlÃ¡ntida,La Ceiba,,-86.77612651374503,15.77712346746843
HND-000042,10100047,MINERVA,CUENCA DEL RIO CANGREJAL 22 KM DE CEIBA,HND,AtlÃ¡ntida,La Ceiba,,-86.67400232747106,15.663156218944042
HND-000043,10100048,MARCO AURELIO SOTO,RIO VIEJO,HND,AtlÃ¡ntida,La Ceiba,,-86.69523309765067,15.661206900794502
HND-000044,10100049,RAMON ROSA,TONCONTIN,HND,AtlÃ¡ntida,La Ceiba,,-86.65389509188377,15.64043356402645
HND-000045,10100050,JUAN LINDO,EL PERU,HND,AtlÃ¡ntida,La Ceiba,,-86.72180646894088,15.778724259406813
