geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-000001,2009,10100002,,,,286,271,557
HND-000001,2010,10100002,3,16,19,286,271,557
HND-000001,2011,10100002,,,,244,260,504
HND-000002,2009,10100004,,,,145,141,286
HND-000002,2010,10100004,0,13,13,142,135,277
HND-000002,2011,10100004,,,,124,102,226
HND-000003,2009,10100005,,,,212,176,388
HND-000003,2010,10100005,4,26,30,217,169,386
HND-000003,2011,10100005,,,,201,169,370
HND-000004,2009,10100006,,,,130,120,250
HND-000004,2010,10100006,4,7,11,130,120,250
HND-000004,2011,10100006,,,,108,94,202
HND-000005,2009,10100007,,,,185,183,368
HND-000005,2010,10100007,1,13,14,185,183,368
HND-000005,2011,10100007,,,,186,181,367
HND-000006,2009,10100008,,,,280,272,552
HND-000006,2010,10100008,2,17,19,280,272,552
HND-000006,2011,10100008,,,,226,230,456
HND-000007,2009,10100009,,,,115,124,239
HND-000007,2010,10100009,3,9,12,110,123,233
HND-000007,2011,10100009,,,,113,97,210
HND-000008,2009,10100010,,,,400,365,765
HND-000008,2010,10100010,3,22,25,386,351,737
HND-000008,2011,10100010,,,,406,339,745
HND-000009,2009,10100011,,,,361,272,633
HND-000009,2010,10100011,7,17,24,344,253,597
HND-000009,2011,10100011,,,,262,201,463
HND-000010,2009,10100014,,,,125,119,244
HND-000010,2010,10100014,2,26,28,124,118,242
HND-000010,2011,10100014,,,,138,128,266
HND-000011,2009,10100016,,,,415,427,842
HND-000011,2010,10100016,5,30,35,510,683,1193
HND-000011,2011,10100016,,,,432,449,881
HND-000012,2009,10100017,,,,104,103,207
HND-000012,2010,10100017,0,8,8,419,426,845
HND-000012,2011,10100017,,,,101,97,198
HND-000013,2009,10100018,,,,32,22,54
HND-000013,2010,10100018,2,0,2,105,100,205
HND-000013,2011,10100018,,,,33,23,56
HND-000014,2009,10100019,,,,42,34,76
HND-000014,2010,10100019,0,3,3,35,25,60
HND-000014,2011,10100019,,,,41,32,73
HND-000015,2009,10100020,,,,55,31,86
HND-000015,2010,10100020,0,2,2,42,34,76
HND-000015,2011,10100020,,,,61,29,90
HND-000016,2009,10100021,,,,100,77,177
HND-000016,2010,10100021,1,5,6,55,32,87
HND-000016,2011,10100021,,,,76,64,140
HND-000017,2009,10100022,,,,92,67,159
HND-000017,2010,10100022,2,5,7,96,75,171
HND-000017,2011,10100022,,,,76,59,135
HND-000018,2009,10100023,,,,12,6,18
HND-000018,2010,10100023,0,1,1,86,63,149
HND-000018,2011,10100023,,,,14,4,18
HND-000019,2009,10100024,,,,45,21,66
